Generation,Alien race,Money,Solar Systems
Starting state,Va Va Dreo,1111,0
Starting state,Sce Ig,1159,2
Starting state,Iskloteedreograi-Keu,1155,0
Starting state,Musiatle,1119,2
Starting state,Oisc Ig'Klosi,1203,0
1,Va Va Dreo,1011,1
1,Sce Ig,1159,2
1,Iskloteedreograi-Keu,1155,0
1,Musiatle,1119,2
1,Oisc Ig'Klosi,1203,0
2,Va Va Dreo,911,2
2,Sce Ig,1159,2
2,Iskloteedreograi-Keu,1155,0
2,Musiatle,1119,2
2,Oisc Ig'Klosi,1203,0
3,Va Va Dreo,911,2
3,Sce Ig,1159,2
3,Iskloteedreograi-Keu,1155,0
3,Musiatle,1119,2
3,Oisc Ig'Klosi,1103,1
4,Va Va Dreo,911,2
4,Sce Ig,1159,2
4,Iskloteedreograi-Keu,1155,0
4,Musiatle,1119,2
4,Oisc Ig'Klosi,1103,1
5,Va Va Dreo,911,2
5,Sce Ig,1159,2
5,Iskloteedreograi-Keu,1155,0
5,Musiatle,1119,2
5,Oisc Ig'Klosi,1103,1
